,,,train,val,test
L1,'random_normal',Adam,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'random_normal',RMSprop,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'glorot_uniform',Adam,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'glorot_uniform',RMSprop,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'glorot_normal',Adam,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'glorot_normal',RMSprop,0.516700029373169,0.5098000168800354,0.5137199759483337
L1,'he_normal',Adam,0.8741499781608582,0.8628000020980835,0.8581200242042542
L1,'he_normal',RMSprop,0.8741499781608582,0.8628000020980835,0.8581200242042542
L1,'orthogonal',Adam,0.9075499773025513,0.8700000047683716,0.8644400238990784
L1,'orthogonal',RMSprop,0.9075499773025513,0.8700000047683716,0.8644400238990784
L2,'random_normal',Adam,,,
L2,'random_normal',RMSprop,,,
L2,'glorot_uniform',Adam,,,
L2,'glorot_uniform',RMSprop,,,
L2,'glorot_normal',Adam,,,
L2,'glorot_normal',RMSprop,,,
L2,'he_normal',Adam,,,
L2,'he_normal',RMSprop,,,
L2,'orthogonal',Adam,,,
L2,'orthogonal',RMSprop,,,
L1L2,'random_normal',Adam,,,
L1L2,'random_normal',RMSprop,,,
L1L2,'glorot_uniform',Adam,,,
L1L2,'glorot_uniform',RMSprop,,,
L1L2,'glorot_normal',Adam,,,
L1L2,'glorot_normal',RMSprop,,,
L1L2,'he_normal',Adam,,,
L1L2,'he_normal',RMSprop,,,
L1L2,'orthogonal',Adam,,,
L1L2,'orthogonal',RMSprop,,,
