,,,,train,test
2,2,50,0.1,75887.9296875,63332.32421875
2,2,50,0.2,77929.6796875,64892.26171875
2,2,60,0.1,82340.8984375,67305.4140625
2,2,60,0.2,82476.0234375,64689.01953125
2,2,70,0.1,74231.5625,62756.9296875
2,2,70,0.2,72004.5390625,64526.4296875
2,3,50,0.1,79756.2578125,66783.375
2,3,50,0.2,75136.890625,61448.14453125
2,3,60,0.1,74031.1640625,62773.85546875
2,3,60,0.2,69901.2265625,64001.68359375
2,3,70,0.1,69324.875,61721.19140625
2,3,70,0.2,77493.671875,65176.7890625
2,4,50,0.1,77925.359375,63979.28515625
2,4,50,0.2,72876.984375,64945.23046875
2,4,60,0.1,71546.921875,64214.9296875
2,4,60,0.2,83123.5703125,68243.3828125
2,4,70,0.1,75770.7734375,66178.890625
2,4,70,0.2,83028.8125,67665.453125
3,2,50,0.1,63948.22265625,56844.9453125
3,2,50,0.2,56343.94140625,59471.5
3,2,60,0.1,57334.078125,58323.359375
3,2,60,0.2,69140.5234375,60028.73828125
3,2,70,0.1,63908.51953125,58191.390625
3,2,70,0.2,69356.5,59559.26171875
3,3,50,0.1,62349.3515625,58215.91015625
3,3,50,0.2,68555.0,61417.44921875
3,3,60,0.1,70940.4296875,59342.34765625
3,3,60,0.2,62134.76953125,59560.48828125
3,3,70,0.1,72432.859375,58950.97265625
3,3,70,0.2,84874.8671875,70664.484375
3,4,50,0.1,65023.19921875,63640.87109375
3,4,50,0.2,79624.625,64865.60546875
3,4,60,0.1,64367.015625,60861.00390625
3,4,60,0.2,62651.9921875,59780.1328125
3,4,70,0.1,62436.234375,59866.08984375
3,4,70,0.2,64763.015625,60417.3203125
4,2,50,0.1,59456.30859375,53448.9140625
4,2,50,0.2,69534.0234375,60130.9921875
4,2,60,0.1,52141.84375,55076.44921875
4,2,60,0.2,59907.64453125,54762.2265625
4,2,70,0.1,60802.55859375,50834.4921875
4,2,70,0.2,58609.39453125,52092.06640625
4,3,50,0.1,50175.08203125,55375.1953125
4,3,50,0.2,56777.2421875,55022.125
4,3,60,0.1,57706.7734375,51725.9921875
4,3,60,0.2,61215.3203125,55949.26171875
4,3,70,0.1,57051.9453125,55075.9765625
4,3,70,0.2,55945.80859375,53510.64453125
4,4,50,0.1,62298.38671875,57817.55859375
4,4,50,0.2,53068.2265625,59106.90234375
4,4,60,0.1,60286.796875,57023.66796875
4,4,60,0.2,57031.73828125,56533.3671875
4,4,70,0.1,53540.64453125,59957.16015625
4,4,70,0.2,63899.7734375,57007.48828125
